year,species_code,sex,sex_desc,iss,nss,nhl
1990,10110,0,total_pre,81.1494321737201,325,14
1990,10110,1,male,31.16535663434855,109,13
1990,10110,2,female,64.0179348654334,216,14
1990,10110,4,total_post,88.82124339416708,325,14
1990,10110,12,female_male,98.02338131735276,325,14
1990,10130,0,total_pre,54.4630415406554,247,22
1990,10130,1,male,26.123047124610107,107,17
1990,10130,2,female,34.20095810100422,138,18
1990,10130,4,total_post,50.72667477899297,247,22
1990,10130,12,female_male,67.42493243776086,245,22
1990,10180,0,total_pre,33.34924866909521,201,18
1990,10180,1,male,14.927237924321672,78,16
1990,10180,2,female,24.85629737054587,123,18
1990,10180,4,total_post,29.470069190899622,201,18
1990,10180,12,female_male,44.53882096216943,201,18
1990,10200,0,total_pre,42.583601834548375,270,27
1990,10200,1,male,23.26566491674878,114,20
1990,10200,2,female,33.16878327578946,156,26
1990,10200,4,total_post,43.9994804385157,270,27
1990,10200,12,female_male,58.76581073078741,270,27
1990,21720,0,total_pre,107.92944524182259,493,29
1990,21720,1,male,56.93335928351954,220,26
1990,21720,2,female,66.43433418281444,273,28
1990,21720,4,total_post,93.76915664523575,493,29
1990,21720,12,female_male,132.2355038962153,493,29
1990,21740,0,total_pre,93.39814867820756,1065,38
1990,21740,1,male,61.54497926474447,503,35
1990,21740,2,female,76.78560209921564,560,35
1990,21740,4,total_post,84.2420495582629,1065,38
1990,21740,12,female_male,147.1531144094692,1063,38
1990,30050,0,total_pre,33.07711137653474,194,27
1990,30050,1,male,31.175183089484065,91,23
1990,30050,2,female,17.524462651143956,102,21
1990,30050,4,total_post,34.4021284663041,194,27
1990,30050,12,female_male,63.595294356210964,193,26
1990,30060,0,total_pre,55.30308649404581,1754,54
1990,30060,1,male,75.53066738434258,868,51
1990,30060,2,female,35.389701091216814,884,51
1990,30060,4,total_post,55.03935282523192,1754,54
1990,30060,12,female_male,92.30095538219153,1752,54
1990,30420,0,total_pre,27.282865524159465,331,12
1990,30420,1,male,17.019047758190336,150,11
1990,30420,2,female,20.241921157585466,178,11
1990,30420,4,total_post,23.667987710843324,331,12
1990,30420,12,female_male,65.4868615821997,328,11
1993,10110,0,total_pre,190.45182683056495,1023,72
1993,10110,1,male,78.68506998459817,389,45
1993,10110,2,female,116.3338084267363,634,66
1993,10110,4,total_post,164.89080468231774,1023,72
1993,10110,12,female_male,196.5481236981533,1023,72
1993,10130,0,total_pre,75.02933247973544,303,35
1993,10130,1,male,34.20310716975041,132,26
1993,10130,2,female,50.929964271452036,170,29
1993,10130,4,total_post,76.61331168408766,303,35
1993,10130,12,female_male,88.34216307330573,302,35
1993,10180,0,total_pre,53.5104721249538,252,35
1993,10180,1,male,27.04075392667618,105,23
1993,10180,2,female,41.097261425923925,147,31
1993,10180,4,total_post,57.06709917904136,252,35
1993,10180,12,female_male,78.36526380879143,252,35
1993,10200,0,total_pre,53.30742452266407,332,29
1993,10200,1,male,26.366621526391864,139,20
1993,10200,2,female,34.121369153859824,193,26
1993,10200,4,total_post,51.01153326608042,332,29
1993,10200,12,female_male,64.11806843786509,332,29
1993,21720,0,total_pre,155.43322096727098,803,65
1993,21720,1,male,85.5762489706853,365,61
1993,21720,2,female,101.72341549417042,438,63
1993,21720,4,total_post,138.43652911741646,803,65
1993,21720,12,female_male,199.4755282522378,803,65
1993,21740,0,total_pre,127.29585379672025,1898,64
1993,21740,1,male,108.80489984592492,868,62
1993,21740,2,female,97.59247742455761,1007,58
1993,21740,4,total_post,124.49671884583631,1898,64
1993,21740,12,female_male,208.2890604317215,1875,64
1993,30050,0,total_pre,150.02473737229758,775,67
1993,30050,1,male,97.82081902962459,382,62
1993,30050,2,female,116.34534614254375,385,56
1993,30050,4,total_post,130.64565801355408,775,67
1993,30050,12,female_male,322.20618525598906,767,66
1993,30060,0,total_pre,100.25613993396794,1378,48
1993,30060,1,male,94.69531563030236,655,47
1993,30060,2,female,69.97200670719073,714,44
1993,30060,4,total_post,97.42667626825094,1378,48
1993,30060,12,female_male,180.42775967171562,1369,48
1993,30420,0,total_pre,36.60403328031805,242,17
1993,30420,1,male,24.36718070024977,115,16
1993,30420,2,female,17.104802175717797,127,15
1993,30420,4,total_post,33.91858291152301,242,17
1993,30420,12,female_male,52.875781446357955,242,17
1996,10110,0,total_pre,210.481259019523,691,61
1996,10110,1,male,66.16647456031089,257,42
1996,10110,2,female,127.47392583560637,434,59
1996,10110,4,total_post,181.84162176325918,691,61
1996,10110,12,female_male,200.96781456238386,691,61
1996,10130,0,total_pre,124.18523189436824,528,55
1996,10130,1,male,55.89917358296656,243,41
1996,10130,2,female,78.55755983258736,285,48
1996,10130,4,total_post,112.18211620820182,528,55
1996,10130,12,female_male,142.47100172265854,528,55
1996,10180,0,total_pre,87.4240565076726,383,66
1996,10180,1,male,42.062868811325124,170,49
1996,10180,2,female,80.12798375854966,213,55
1996,10180,4,total_post,88.28793319499339,383,66
1996,10180,12,female_male,129.81994042072694,383,66
1996,10200,0,total_pre,79.01161345834691,370,77
1996,10200,1,male,42.61252838885448,158,43
1996,10200,2,female,45.77066689009624,212,59
1996,10200,4,total_post,77.77000243752047,370,77
1996,10200,12,female_male,93.99924291181864,370,77
1996,10261,0,total_pre,31.24235449910376,230,20
1996,10261,1,male,13.767918660287709,94,16
1996,10261,2,female,19.213490985017486,136,17
1996,10261,4,total_post,27.635702842476476,230,20
1996,10261,12,female_male,32.53942748809897,230,20
1996,10262,0,total_pre,88.6766844431268,268,29
1996,10262,1,male,23.784105462657813,87,19
1996,10262,2,female,46.499286754798455,181,29
1996,10262,4,total_post,57.00608795674245,268,29
1996,10262,12,female_male,70.71783747415307,268,29
1996,20510,0,total_pre,88.67369628264119,708,108
1996,20510,1,male,43.81661698901596,336,89
1996,20510,2,female,48.57633640878477,372,88
1996,20510,4,total_post,62.53542236307357,708,108
1996,20510,12,female_male,90.70962311258081,708,108
1996,21720,0,total_pre,44.15755019953225,771,87
1996,21720,1,male,24.866018909394306,386,68
1996,21720,2,female,47.354518387202354,385,77
1996,21720,4,total_post,38.95185770754984,771,87
1996,21720,12,female_male,64.92251887457424,771,87
