year,species_code,sex,sex_desc,length,iss,nss,nhl
1990,10110,0,total,18,1.4216550247018862,1,1
1990,10110,0,total,19,1.70719146588192,1,1
1990,10110,0,total,20,3.6229278175137667,4,1
1990,10110,0,total,20,3.6229278175137667,4,3
1990,10110,0,total,21,2.58998131769945,4,1
1990,10110,0,total,21,2.58998131769945,4,3
1990,10110,0,total,22,3.0719884351343785,8,4
1990,10110,0,total,22,3.0719884351343785,8,4
1990,10110,0,total,23,4.187532812512764,9,4
1990,10110,0,total,23,4.187532812512764,9,5
1990,10110,0,total,24,3.4961371405672756,7,4
1990,10110,0,total,24,3.4961371405672756,7,3
1990,10110,0,total,25,3.2465111619630047,8,5
1990,10110,0,total,25,3.2465111619630047,8,3
1990,10110,0,total,26,3.6103848661773315,9,4
1990,10110,0,total,26,3.6103848661773315,9,4
1990,10110,0,total,27,3.456004151776189,10,5
1990,10110,0,total,27,3.456004151776189,10,5
1990,10110,0,total,28,4.248830153765908,10,5
1990,10110,0,total,28,4.248830153765908,10,4
1990,10110,0,total,29,4.142097784123653,7,3
1990,10110,0,total,29,4.142097784123653,7,4
1990,10110,0,total,30,3.9115809624730065,8,5
1990,10110,0,total,30,3.9115809624730065,8,3
1990,10110,0,total,31,3.464273298339279,10,5
1990,10110,0,total,31,3.464273298339279,10,5
1990,10110,0,total,32,4.5369532378823205,10,5
1990,10110,0,total,32,4.5369532378823205,10,5
1990,10110,0,total,33,3.217256447018537,7,3
1990,10110,0,total,33,3.217256447018537,7,4
1990,10110,0,total,34,5.725462313671774,11,5
1990,10110,0,total,34,5.725462313671774,11,5
1990,10110,0,total,35,3.7330180636664965,9,5
1990,10110,0,total,35,3.7330180636664965,9,4
1990,10110,0,total,36,4.366328911763895,10,5
1990,10110,0,total,36,4.366328911763895,10,5
1990,10110,0,total,37,2.23730137221383,9,3
1990,10110,0,total,37,2.23730137221383,9,4
1990,10110,0,total,38,5.46231732673323,9,3
1990,10110,0,total,38,5.46231732673323,9,6
1990,10110,0,total,39,4.543817882848824,10,5
1990,10110,0,total,39,4.543817882848824,10,4
1990,10110,0,total,40,3.287156182090415,11,6
1990,10110,0,total,40,3.287156182090415,11,4
1990,10110,0,total,41,4.8198259618271875,9,4
1990,10110,0,total,41,4.8198259618271875,9,5
1990,10110,0,total,42,5.176756112807938,10,4
1990,10110,0,total,42,5.176756112807938,10,6
1990,10110,0,total,43,4.521430030899113,9,3
1990,10110,0,total,43,4.521430030899113,9,6
1990,10110,0,total,44,4.343751945044865,8,2
1990,10110,0,total,44,4.343751945044865,8,6
1990,10110,0,total,45,3.6622586045586507,7,2
1990,10110,0,total,45,3.6622586045586507,7,4
1990,10110,0,total,46,3.7466449944846363,6,1
1990,10110,0,total,46,3.7466449944846363,6,4
1990,10110,0,total,47,3.817268865327071,7,2
1990,10110,0,total,47,3.817268865327071,7,5
1990,10110,0,total,48,3.100237869398893,6,1
1990,10110,0,total,48,3.100237869398893,6,5
1990,10110,0,total,49,2.270667089620611,5,5
1990,10110,0,total,50,3.1160272576174055,5,1
1990,10110,0,total,50,3.1160272576174055,5,4
1990,10110,0,total,51,2.9640367700102788,5,1
1990,10110,0,total,51,2.9640367700102788,5,4
1990,10110,0,total,52,3.2878398389497794,5,5
1990,10110,0,total,53,3.5570192842677275,6,6
1990,10110,0,total,54,2.8900177296025955,4,4
1990,10110,0,total,55,2.637007718865705,4,4
1990,10110,0,total,56,2.4761786102509626,4,4
1990,10110,0,total,57,2.302730951268235,4,4
1990,10110,0,total,58,2.702321033233924,4,4
1990,10110,0,total,59,2.417306199090816,4,3
1990,10110,0,total,60,2.466031001417007,4,3
1990,10110,0,total,61,1.8127387374900568,2,2
1990,10110,0,total,62,2.5345569139163127,3,3
1990,10110,0,total,63,1.7120309606463426,2,2
1990,10110,0,total,64,1.0506486867223697,1,1
1990,10110,0,total,65,0.9921980177622225,1,1
1990,10110,0,total,66,1.0804963254432933,1,1
1990,10110,0,total,67,1.8426053155357023,3,3
1990,10110,0,total,69,2.1437221212559896,3,3
1990,10110,0,total,70,1.883319456969547,2,2
1990,10110,0,total,71,1.0490352813199941,1,1
1990,10110,0,total,72,1.719816682209153,2,1
1990,10110,0,total,73,1.4975783920821166,2,2
1990,10110,0,total,74,1.0491219649290502,1,1
1990,10110,0,total,75,1.0815290650605103,1,1
1990,10110,0,total,76,1.089465083655846,1,1
1990,10110,0,total,77,1.0509393895638424,1,1
1990,10110,1,male,18,1.5433569538803176,1,1
1990,10110,1,male,20,1.8425547677188647,1,1
1990,10110,1,male,21,1.9448277832540466,1,1
1990,10110,1,male,22,2.7170337344160123,4,4
1990,10110,1,male,23,2.288345453263029,4,4
1990,10110,1,male,24,2.8925805112647014,4,4
1990,10110,1,male,25,2.879523296597699,5,5
1990,10110,1,male,26,3.0521174337317705,4,4
1990,10110,1,male,27,3.5340047183007934,5,5
1990,10110,1,male,28,2.9596058620459256,5,5
1990,10110,1,male,29,3.5678000742717493,3,3
1990,10110,1,male,30,3.294985739999069,5,5
1990,10110,1,male,31,2.6145782748944457,5,5
1990,10110,1,male,32,2.4336428998621216,5,5
1990,10110,1,male,33,2.911624358442886,3,3
1990,10110,1,male,34,3.0128865520715684,5,5
1990,10110,1,male,35,3.0501844250642365,5,5
1990,10110,1,male,36,4.059362172841373,5,5
1990,10110,1,male,37,1.430463745326078,4,3
1990,10110,1,male,38,3.4258207341473725,3,3
1990,10110,1,male,39,3.4097974006788734,5,5
1990,10110,1,male,40,3.8024430909930973,6,6
1990,10110,1,male,41,3.1363900420505426,4,4
1990,10110,1,male,42,3.1679992564624224,4,4
1990,10110,1,male,43,2.557786369560641,3,3
1990,10110,1,male,44,1.9558905013106904,2,2
1990,10110,1,male,45,1.9764094818479014,2,2
1990,10110,1,male,46,0.953657032540794,1,1
1990,10110,1,male,47,1.998003449437897,2,2
1990,10110,1,male,48,1.0213718488641836,1,1
1990,10110,1,male,50,1.0231833832774515,1,1
1990,10110,1,male,51,1.0258987526136092,1,1
1990,10110,2,female,19,2.0240689106082104,1,1
1990,10110,2,female,20,2.517614678262577,3,3
1990,10110,2,female,21,1.9871609760470579,3,3
1990,10110,2,female,22,3.3363491587190275,4,4
1990,10110,2,female,23,3.5984223014450736,5,5
1990,10110,2,female,24,2.770122556650919,3,3
1990,10110,2,female,25,2.746791709052004,3,3
1990,10110,2,female,26,3.2613231096613617,5,4
1990,10110,2,female,27,3.1509470857295065,5,5
1990,10110,2,female,28,3.3768615885653217,5,4
1990,10110,2,female,29,3.068361743023282,4,4
1990,10110,2,female,30,3.0846973624964953,3,3
1990,10110,2,female,31,3.461751928271136,5,5
1990,10110,2,female,32,3.3131646850844603,5,5
1990,10110,2,female,33,3.035845439717091,4,4
1990,10110,2,female,34,3.3087608578234136,6,5
1990,10110,2,female,35,2.7455846300614124,4,4
1990,10110,2,female,36,3.423563914689759,5,5
1990,10110,2,female,37,2.2550817318465284,5,4
1990,10110,2,female,38,3.9592401052159185,6,6
1990,10110,2,female,39,3.5412701307293277,5,4
1990,10110,2,female,40,1.9512098420995057,5,4
1990,10110,2,female,41,3.14727207424307,5,5
1990,10110,2,female,42,3.9247971221709896,6,6
1990,10110,2,female,43,3.9537851573702247,6,6
1990,10110,2,female,44,3.742549191073237,6,6
1990,10110,2,female,45,3.0771660927333255,5,4
1990,10110,2,female,46,3.9072022703693454,5,4
1990,10110,2,female,47,3.1770797536401805,5,5
1990,10110,2,female,48,2.7553595162121005,5,5
1990,10110,2,female,49,2.292174331515996,5,5
1990,10110,2,female,50,2.51747093391621,4,4
1990,10110,2,female,51,3.2297501754851616,4,4
1990,10110,2,female,52,3.0404344331677313,5,5
1990,10110,2,female,53,3.359214228257868,6,6
1990,10110,2,female,54,2.7763632775261824,4,4
1990,10110,2,female,55,2.758375014019431,4,4
1990,10110,2,female,56,2.550218550271104,4,4
1990,10110,2,female,57,2.3195468368764267,4,4
1990,10110,2,female,58,2.637688608938469,4,4
1990,10110,2,female,59,2.4585959435128264,4,3
1990,10110,2,female,60,2.576635415789792,4,3
1990,10110,2,female,61,1.778708102984898,2,2
1990,10110,2,female,62,2.6296336341974653,3,3
1990,10110,2,female,63,1.77863045907352,2,2
1990,10110,2,female,64,1.008828612714861,1,1
1990,10110,2,female,65,1.089029536168701,1,1
1990,10110,2,female,66,1.060297280358051,1,1
1990,10110,2,female,67,1.9006567997938406,3,3
1990,10110,2,female,69,2.1780886255420655,3,3
1990,10110,2,female,70,1.84254425678723,2,2
1990,10110,2,female,71,0.9774581146533866,1,1
1990,10110,2,female,72,1.8725624257282123,2,1
1990,10110,2,female,73,1.511558060146188,2,2
1990,10110,2,female,74,1.1073150560540794,1,1
1990,10110,2,female,75,1.0086075724206405,1,1
1990,10110,2,female,76,1.1590070068865006,1,1
1990,10110,2,female,77,1.1320484515957017,1,1
1990,10130,0,total,11,1.7222791386728187,1,1
1990,10130,0,total,12,2.835318167851371,3,1
1990,10130,0,total,12,2.835318167851371,3,1
1990,10130,0,total,12,2.835318167851371,3,1
1990,10130,0,total,13,1.2990527740189446,1,1
1990,10130,0,total,14,2.9612535959156054,4,1
1990,10130,0,total,14,2.9612535959156054,4,2
1990,10130,0,total,14,2.9612535959156054,4,1
1990,10130,0,total,16,2.6063752573301158,3,1
1990,10130,0,total,16,2.6063752573301158,3,2
1990,10130,0,total,17,3.416819641744162,3,1
1990,10130,0,total,17,3.416819641744162,3,2
1990,10130,0,total,18,3.408008536552843,6,2
1990,10130,0,total,18,3.408008536552843,6,3
1990,10130,0,total,19,3.4147688263985,4,3
1990,10130,0,total,20,4.309646487512466,9,5
1990,10130,0,total,20,4.309646487512466,9,4
1990,10130,0,total,21,3.557510570885202,6,2
1990,10130,0,total,21,3.557510570885202,6,3
1990,10130,0,total,22,4.192329897690829,8,3
1990,10130,0,total,22,4.192329897690829,8,3
1990,10130,0,total,23,3.985250144851579,9,5
1990,10130,0,total,23,3.985250144851579,9,3
1990,10130,0,total,24,3.789886542668563,9,5
1990,10130,0,total,24,3.789886542668563,9,3
1990,10130,0,total,25,3.242869225875597,11,4
1990,10130,0,total,25,3.242869225875597,11,4
1990,10130,0,total,26,4.19511251724184,8,4
1990,10130,0,total,26,4.19511251724184,8,3
1990,10130,0,total,27,3.270661567857517,5,2
1990,10130,0,total,27,3.270661567857517,5,3
1990,10130,0,total,28,4.305338326965255,8,4
1990,10130,0,total,28,4.305338326965255,8,3
1990,10130,0,total,29,3.901606415623488,9,3
1990,10130,0,total,29,3.901606415623488,9,4
1990,10130,0,total,30,4.618256895005468,8,3
1990,10130,0,total,30,4.618256895005468,8,3
1990,10130,0,total,31,5.9283150041564046,13,4
1990,10130,0,total,31,5.9283150041564046,13,4
1990,10130,0,total,32,4.449463443091138,10,5
1990,10130,0,total,32,4.449463443091138,10,4
1990,10130,0,total,33,6.672990949887376,15,6
1990,10130,0,total,33,6.672990949887376,15,6
1990,10130,0,total,34,5.045743495755885,10,4
1990,10130,0,total,34,5.045743495755885,10,4
1990,10130,0,total,35,4.5922575959378324,9,5
1990,10130,0,total,35,4.5922575959378324,9,2
1990,10130,0,total,36,5.036565042097072,9,5
1990,10130,0,total,36,5.036565042097072,9,4
1990,10130,0,total,37,3.1783549722311513,7,3
1990,10130,0,total,37,3.1783549722311513,7,3
1990,10130,0,total,38,4.979702144830427,11,2
1990,10130,0,total,38,4.979702144830427,11,5
1990,10130,0,total,39,2.9118323457925577,7,2
1990,10130,0,total,39,2.9118323457925577,7,3
1990,10130,0,total,40,3.182248443061256,6,2
1990,10130,0,total,40,3.182248443061256,6,4
1990,10130,0,total,41,1.6280857134058613,4,2
1990,10130,0,total,42,3.7642218021429708,7,1
1990,10130,0,total,42,3.7642218021429708,7,5
1990,10130,0,total,43,2.3250896185580388,4,2
1990,10130,0,total,44,1.7491109614487574,3,3
1990,10130,0,total,45,3.1341695700131833,5,5
1990,10130,0,total,46,3.106479707396203,4,3
1990,10130,0,total,47,3.037618766652939,4,1
1990,10130,0,total,47,3.037618766652939,4,2
1990,10130,0,total,48,2.1500388287628627,2,2
1990,10130,0,total,49,2.330404370877587,2,2
1990,10130,1,male,11,1.7360626858002717,1,1
1990,10130,1,male,12,1.8072118862261344,1,1
1990,10130,1,male,14,1.2903225806451613,1,1
1990,10130,1,male,16,1.7404808588501905,1,1
1990,10130,1,male,17,1.618025886895155,1,1
1990,10130,1,male,18,2.9073572262172216,2,2
1990,10130,1,male,19,3.2117561455932937,4,3
1990,10130,1,male,20,3.220098570890389,5,5
1990,10130,1,male,21,2.838948241218025,2,2
1990,10130,1,male,22,3.4026204433529705,4,3
1990,10130,1,male,23,2.6387072951881714,5,5
1990,10130,1,male,24,3.2597304408142427,6,5
1990,10130,1,male,25,2.579529404986761,6,4
1990,10130,1,male,26,3.3007459925933285,5,4
1990,10130,1,male,27,2.246676552001771,2,2
1990,10130,1,male,28,3.5803666691601697,5,4
1990,10130,1,male,29,2.38249973546651,3,3
1990,10130,1,male,30,3.3997890501673,4,3
1990,10130,1,male,31,3.848726822528474,7,4
1990,10130,1,male,32,2.5992170924412,5,5
1990,10130,1,male,33,3.5874699651745114,7,6
1990,10130,1,male,34,3.3091129966981314,5,4
1990,10130,1,male,35,3.7105219211796268,6,5
