year,species_code,sex,sex_desc,iss,nss,nhl
1990,10110,0,total_pre,123.83775559262668,325,14
1990,10110,1,male,39.03852358068779,109,13
1990,10110,2,female,89.3639508154204,216,14
1990,10110,4,total_post,120.61128382875137,325,14
1990,10110,12,female_male,134.89332198261474,325,14
1990,10130,0,total_pre,66.36433864099787,247,22
1990,10130,1,male,32.64517147042639,107,17
1990,10130,2,female,33.58443920230388,138,18
1990,10130,4,total_post,55.391540190689504,247,22
1990,10130,12,female_male,69.31952944438143,245,22
1990,10180,0,total_pre,49.84072204893719,201,18
1990,10180,1,male,26.414207058179187,78,16
1990,10180,2,female,32.75739347453482,123,18
1990,10180,4,total_post,47.61950279609018,201,18
1990,10180,12,female_male,60.40434535016038,201,18
1990,10200,0,total_pre,50.194814364003165,270,27
1990,10200,1,male,29.176989878201415,114,20
1990,10200,2,female,39.96657212847377,156,26
1990,10200,4,total_post,51.83490899916788,270,27
1990,10200,12,female_male,74.07422880180891,270,27
1990,21720,0,total_pre,136.20437482423182,493,29
1990,21720,1,male,82.20683591306958,220,26
1990,21720,2,female,97.5177395308975,273,28
1990,21720,4,total_post,130.02746937523156,493,29
1990,21720,12,female_male,196.06177591369064,493,29
1990,21740,0,total_pre,74.15186487474962,1065,38
1990,21740,1,male,66.31454147130687,503,35
1990,21740,2,female,84.29142731453724,560,35
1990,21740,4,total_post,75.68557138028001,1065,38
1990,21740,12,female_male,161.1039241254027,1063,38
1990,30050,0,total_pre,40.313321345851726,194,27
1990,30050,1,male,19.53529087372107,91,23
1990,30050,2,female,24.286605532528263,102,21
1990,30050,4,total_post,37.78606157436871,194,27
1990,30050,12,female_male,45.718645582902404,193,26
1990,30060,0,total_pre,135.13504717895557,1754,54
1990,30060,1,male,129.1620014829411,868,51
1990,30060,2,female,99.98647351802065,884,51
1990,30060,4,total_post,133.96748329440362,1754,54
1990,30060,12,female_male,228.59285775087957,1752,54
1990,30420,0,total_pre,72.3675070935421,331,12
1990,30420,1,male,42.24352034077734,150,11
1990,30420,2,female,44.4866849440807,178,11
