year,species_code,sex,sex_desc,iss,nss,nhls
1990,10110,0,total_pre,1260.6472462710335,54708,492
1990,10110,1,male,801.6994562636553,16829,485
1990,10110,2,female,987.7194387989523,37574,490
1990,10110,4,total_post,1260.6472435583871,54708,492
1990,10110,12,female_male,1520.2255740996288,54403,490
1990,10130,0,total_pre,575.7988467083989,24322,286
1990,10130,1,male,338.9475025680477,11255,276
1990,10130,2,female,376.03891737935146,12939,285
1990,10130,4,total_post,575.7988590089419,24322,286
1990,10130,12,female_male,744.7485951456937,24194,285
1990,10180,0,total_pre,258.5465945504071,7435,195
1990,10180,1,male,73.1950963595565,3401,188
1990,10180,2,female,380.1356245223452,4034,194
1990,10180,4,total_post,258.5465808469053,7435,195
1990,10180,12,female_male,250.71139048962982,7435,195
1990,10200,0,total_pre,463.93617762652997,14387,237
1990,10200,1,male,158.89338007580037,6793,227
1990,10200,2,female,381.7162621785683,7593,237
1990,10200,4,total_post,463.93618811831374,14387,237
1990,10200,12,female_male,385.3170381348184,14386,237
1990,20510,0,total_pre,246.7266577363918,5172,155
1990,20510,1,male,380.6170264869648,2890,144
1990,20510,2,female,114.34903459939102,2079,145
1990,20510,4,total_post,246.72667602388208,5172,155
1990,20510,12,female_male,260.5904580561409,4969,145
1990,21720,0,total_pre,170.29649301383463,11418,276
1990,21720,1,male,166.10952393223926,5535,274
1990,21720,2,female,188.07048649781527,5772,275
1990,21720,4,total_post,170.2965098557159,11418,276
1990,21720,12,female_male,370.57062470230807,11307,276
1990,21740,0,total_pre,116.5016763297282,42631,325
1990,21740,1,male,109.10018124037374,15014,302
1990,21740,2,female,148.4931973646701,20053,302
1990,21740,4,total_post,116.50167685571279,42631,325
1990,21740,12,female_male,273.87709257717694,35067,303
1990,30050,0,total_pre,133.05673062777507,3522,99
1990,30050,1,male,123.44794697240755,1752,97
1990,30050,2,female,113.55072366915483,1768,99
1990,30050,4,total_post,133.05672215782238,3522,99
1990,30050,12,female_male,252.3750629601285,3520,99
1990,30060,0,total_pre,53.46564915443771,12612,156
1990,30060,1,male,65.58424029979251,6502,149
1990,30060,2,female,36.69857232762192,5718,149
