year,species_code,sex,sex_desc,iss,nss,nhls
1990,10110,0,total_pre,3595.774852893577,54708,492
1990,10110,1,male,1671.7825860224152,16829,485
1990,10110,2,female,2648.541534786243,37574,490
1990,10110,4,total_post,3595.77479698772,54708,492
1990,10110,12,female_male,3927.5328526623825,54403,490
1990,10130,0,total_pre,1821.30589343255,24322,286
1990,10130,1,male,981.7343748219039,11255,276
1990,10130,2,female,1190.4441515542967,12939,285
1990,10130,4,total_post,1821.3056858440768,24322,286
1990,10130,12,female_male,2074.2252999652683,24194,285
1990,10180,0,total_pre,589.1852270945429,7435,195
1990,10180,1,male,235.37120368191063,3401,188
1990,10180,2,female,496.8137433645875,4034,194
1990,10180,4,total_post,589.1852060387035,7435,195
1990,10180,12,female_male,597.076359613483,7435,195
1990,10200,0,total_pre,1278.7892038620264,14387,237
1990,10200,1,male,534.6046566686621,6793,227
1990,10200,2,female,880.037505451431,7593,237
1990,10200,4,total_post,1278.7891258435532,14387,237
1990,10200,12,female_male,1154.6711843104333,14386,237
1990,20510,0,total_pre,511.0954669713546,5172,155
1990,20510,1,male,571.8673275026249,2890,144
1990,20510,2,female,195.91361515200276,2079,145
1990,20510,4,total_post,511.0954637686426,5172,155
1990,20510,12,female_male,502.65754345767596,4969,145
1990,21720,0,total_pre,579.4836084020887,11418,276
1990,21720,1,male,416.6460229573647,5535,274
1990,21720,2,female,479.90849435671447,5772,275
1990,21720,4,total_post,579.4836924195681,11418,276
1990,21720,12,female_male,893.6003870535008,11307,276
1990,21740,0,total_pre,427.25558210313756,42631,325
1990,21740,1,male,453.41646090070725,15014,302
1990,21740,2,female,653.1244193580097,20053,302
1990,21740,4,total_post,427.2555840627274,42631,325
1990,21740,12,female_male,1094.2847636227466,35067,303
1990,30050,0,total_pre,439.5048484347337,3522,99
1990,30050,1,male,317.45586166992626,1752,97
1990,30050,2,female,326.1573336154237,1768,99
1990,30050,4,total_post,439.504860450884,3522,99
1990,30050,12,female_male,640.7680170315182,3520,99
1990,30060,0,total_pre,234.4765389798328,12612,156
1990,30060,1,male,232.2654087713146,6502,149
1990,30060,2,female,137.08973877675757,5718,149
1990,30060,4,total_post,234.47654512118254,12612,156
1990,30060,12,female_male,325.87185315005036,12220,151
1990,30150,0,total_pre,105.75191858674344,843,26
1990,30150,1,male,66.84492644414502,393,25
1990,30150,2,female,72.11664100494971,449,26
1990,30150,4,total_post,105.75197812997061,843,26
1990,30150,12,female_male,114.0673564958873,842,26
1990,30420,0,total_pre,95.27716501985107,3018,46
1990,30420,1,male,70.92522589561365,1682,45
1990,30420,2,female,64.61278919354221,1334,46
1990,30420,4,total_post,95.27716347631852,3018,46
1990,30420,12,female_male,138.7523421350903,3016,46
1993,10110,0,total_pre,7106.896721335729,66060,638
1993,10110,1,male,2392.6967044000994,19311,609
1993,10110,2,female,5594.6332638538615,46558,629
1993,10110,4,total_post,7106.896827049801,66060,638
1993,10110,12,female_male,7619.144539194744,65869,635
1993,10130,0,total_pre,2021.8631945102625,25995,363
1993,10130,1,male,850.0958672055694,12248,337
1993,10130,2,female,1137.1247831416595,13509,361
1993,10130,4,total_post,2021.8631377069737,25995,363
1993,10130,12,female_male,1802.8067635824016,25757,363
1993,10180,0,total_pre,1969.5732509477389,10491,321
1993,10180,1,male,1089.3412744960387,5316,283
1993,10180,2,female,1105.6732395538686,4866,306
1993,10180,4,total_post,1969.5737123454392,10491,321
1993,10180,12,female_male,1894.7060845969845,10182,316
1993,10200,0,total_pre,2309.9061380531207,19100,374
1993,10200,1,male,969.9855492938701,8166,319
1993,10200,2,female,1821.7021206049196,9943,359
1993,10200,4,total_post,2309.9062461834546,19100,374
1993,10200,12,female_male,2296.9678268843277,18109,367
1993,20510,0,total_pre,327.58067558781386,7705,262
1993,20510,1,male,243.88098660202084,4295,234
1993,20510,2,female,224.85492340562627,2873,236
1993,20510,4,total_post,327.5806542246066,7705,262
1993,20510,12,female_male,435.8491960523029,7168,250
1993,21720,0,total_pre,941.6610142408549,17447,453
1993,21720,1,male,615.9722551168312,8414,433
1993,21720,2,female,657.6968472325906,8570,435
1993,21720,4,total_post,941.6610388802065,17447,453
1993,21720,12,female_male,1275.8896340216309,16984,452
1993,21740,0,total_pre,838.5782340522229,35210,457
1993,21740,1,male,479.60317500542,14675,427
1993,21740,2,female,638.5257616196493,18848,430
1993,21740,4,total_post,838.578218228458,35210,457
1993,21740,12,female_male,1072.3607828218605,33523,449
1993,30050,0,total_pre,478.1563441417775,5639,201
1993,30050,1,male,333.47766921546656,2699,178
1993,30050,2,female,398.0723459774529,2864,181
1993,30050,4,total_post,478.1563304797243,5639,201
1993,30050,12,female_male,716.8613981728898,5563,196
1993,30060,0,total_pre,298.91813965768654,17357,219
1993,30060,1,male,266.6583974619918,8815,208
1993,30060,2,female,221.38803950640306,7976,208
1993,30060,4,total_post,298.91813952264806,17357,219
1993,30060,12,female_male,490.73220312030406,16791,218
1993,30150,0,total_pre,95.16181472492659,2299,95
1993,30150,1,male,79.96895443165846,1120,78
1993,30150,2,female,81.51802459346831,1178,86
1993,30150,4,total_post,95.1618297840156,2299,95
1993,30150,12,female_male,165.39327579673312,2298,94
1993,30420,0,total_pre,171.1287754371337,4384,106
1993,30420,1,male,143.98553127041137,2252,99
1993,30420,2,female,93.83867081266912,2132,91
1993,30420,4,total_post,171.12878560585398,4384,106
1993,30420,12,female_male,188.96352918686156,4384,106
1996,10110,0,total_pre,6039.534544145442,56154,740
1996,10110,1,male,2154.036505020176,17822,690
1996,10110,2,female,5067.37379044663,38306,730
1996,10110,4,total_post,6039.534248218574,56154,740
1996,10110,12,female_male,6863.379754674824,56128,740
1996,10130,0,total_pre,3034.0862230110006,21416,417
1996,10130,1,male,1447.8431962737527,9975,379
1996,10130,2,female,1761.1979837022375,11086,388
1996,10130,4,total_post,3034.0861754104335,21416,417
1996,10130,12,female_male,2979.111406226739,21061,416
1996,10180,0,total_pre,1726.2291435443228,7125,406
1996,10180,1,male,961.2074802390443,3886,308
1996,10180,2,female,1027.4756628126765,3239,373
1996,10180,4,total_post,1726.229760250307,7125,406
1996,10180,12,female_male,1743.742253197986,7125,406
1996,10200,0,total_pre,2236.815787261002,14496,517
1996,10200,1,male,1102.3957942685151,7718,401
1996,10200,2,female,1505.170596396508,6768,487
1996,10200,4,total_post,2236.8157879906134,14496,517
1996,10200,12,female_male,2218.057248491005,14486,517
1996,10261,0,total_pre,633.8438603824093,8537,195
1996,10261,1,male,320.1461461190368,3220,155
1996,10261,2,female,803.2884027445757,5310,185
1996,10261,4,total_post,633.8438815164674,8537,195
1996,10261,12,female_male,870.9010861110058,8530,194
1996,10262,0,total_pre,1662.352940109052,8395,280
1996,10262,1,male,390.09263624122514,1889,175
1996,10262,2,female,1396.2891053428616,6495,274
1996,10262,4,total_post,1662.3530087245954,8395,280
1996,10262,12,female_male,1592.8754572693183,8384,279
1996,20510,0,total_pre,662.0473904480903,4621,356
1996,20510,1,male,581.2904365681133,2707,312
1996,20510,2,female,352.8339802857835,1912,300
1996,20510,4,total_post,662.0474021110215,4621,356
1996,20510,12,female_male,875.6561312987899,4619,355
1996,21720,0,total_pre,323.57408578998974,12019,534
1996,21720,1,male,197.42188083570477,5888,462
1996,21720,2,female,402.56682433848715,6094,473
1996,21720,4,total_post,323.57409600573544,12019,534
1996,21720,12,female_male,492.1195756925935,11982,531
1996,21740,0,total_pre,124.60791081464161,46668,653
1996,21740,1,male,269.5567182832193,17698,572
1996,21740,2,female,359.6988404725211,19555,576
1996,21740,4,total_post,124.60791088230134,46668,653
1996,21740,12,female_male,612.7935343655446,37253,630
1996,30050,0,total_pre,725.243278005423,3943,238
1996,30050,1,male,457.8793737915594,1880,200
1996,30050,2,female,457.02211868190415,2060,193
1996,30050,4,total_post,725.2433068468866,3943,238
1996,30050,12,female_male,912.9084672632823,3940,238
1996,30060,0,total_pre,253.66234816772518,21564,315
1996,30060,1,male,183.85432036801132,11191,283
1996,30060,2,female,223.10042685465106,10141,274
1996,30060,4,total_post,253.66234925632537,21564,315
1996,30060,12,female_male,416.5026445846762,21332,309
1996,30152,0,total_pre,155.0956897067042,1478,105
1996,30152,1,male,84.21324440136245,679,82
1996,30152,2,female,101.50608137246266,799,74
1996,30152,4,total_post,155.09569084711023,1478,105
1996,30152,12,female_male,180.60694275991554,1478,105
1996,30420,0,total_pre,202.3959744015688,4239,131
1996,30420,1,male,129.51542590677911,2045,109
1996,30420,2,female,101.21032337439895,2183,105
1996,30420,4,total_post,202.39598069523848,4239,131
1996,30420,12,female_male,203.67914212382996,4228,128
1999,10110,0,total_pre,7057.42882837868,53681,673
1999,10110,1,male,2796.7690904275883,16653,641
1999,10110,2,female,5403.237815979701,36828,668
1999,10110,4,total_post,7057.428600728057,53681,673
1999,10110,12,female_male,7962.496293034804,53481,672
1999,10130,0,total_pre,2461.1991639449875,16052,389
1999,10130,1,male,1319.5085426824508,8023,332
1999,10130,2,female,1506.9680742699218,7941,346
1999,10130,4,total_post,2461.1991713031994,16052,389
1999,10130,12,female_male,2394.495889922292,15964,388
1999,10180,0,total_pre,1702.4746108747806,6580,363
1999,10180,1,male,978.0010622165876,3961,287
1999,10180,2,female,962.4176740223788,2573,319
1999,10180,4,total_post,1702.474570348177,6580,363
1999,10180,12,female_male,1797.0792039852265,6534,362
1999,10200,0,total_pre,1996.6999180048576,11652,469
1999,10200,1,male,1031.6797751926842,6204,374
1999,10200,2,female,1437.8148300848748,5408,430
1999,10200,4,total_post,1996.6999633898452,11652,469
1999,10200,12,female_male,2209.2077574729396,11612,462
1999,10261,0,total_pre,529.8962365478677,5262,180
1999,10261,1,male,303.7540738872167,2009,141
1999,10261,2,female,340.255987178909,3249,175
1999,10261,4,total_post,529.8962113990697,5262,180
1999,10261,12,female_male,564.5901193962067,5258,180
