year,species_code,sex,sex_desc,length,iss,nss,nhl
1990,10110,0,total,18,1.69734937737287,1,1
1990,10110,0,total,19,1.920439656891354,1,1
1990,10110,0,total,20,3.4313378949312408,4,1
1990,10110,0,total,20,3.4313378949312408,4,3
1990,10110,0,total,21,2.4868338876715552,4,1
1990,10110,0,total,21,2.4868338876715552,4,3
1990,10110,0,total,22,4.147247803732048,8,4
1990,10110,0,total,22,4.147247803732048,8,4
1990,10110,0,total,23,4.154588461337698,9,4
1990,10110,0,total,23,4.154588461337698,9,5
1990,10110,0,total,24,3.3688997668362126,7,4
1990,10110,0,total,24,3.3688997668362126,7,3
1990,10110,0,total,25,3.1333502068764023,8,5
1990,10110,0,total,25,3.1333502068764023,8,3
1990,10110,0,total,26,3.8047507609984077,9,4
1990,10110,0,total,26,3.8047507609984077,9,4
1990,10110,0,total,27,4.482888667172911,10,5
1990,10110,0,total,27,4.482888667172911,10,5
1990,10110,0,total,28,4.0369278650136176,10,5
1990,10110,0,total,28,4.0369278650136176,10,4
1990,10110,0,total,29,3.4390355071417478,7,3
1990,10110,0,total,29,3.4390355071417478,7,4
1990,10110,0,total,30,4.02313735586507,8,5
1990,10110,0,total,30,4.02313735586507,8,3
1990,10110,0,total,31,3.8013324093971685,10,5
1990,10110,0,total,31,3.8013324093971685,10,5
1990,10110,0,total,32,4.660630946506828,10,5
1990,10110,0,total,32,4.660630946506828,10,5
1990,10110,0,total,33,3.3167645764238123,7,3
1990,10110,0,total,33,3.3167645764238123,7,4
1990,10110,0,total,34,5.415968156279325,11,5
1990,10110,0,total,34,5.415968156279325,11,5
1990,10110,0,total,35,4.045301253475293,9,5
1990,10110,0,total,35,4.045301253475293,9,4
1990,10110,0,total,36,4.460727298249298,10,5
1990,10110,0,total,36,4.460727298249298,10,5
1990,10110,0,total,37,2.2277620623581407,9,3
1990,10110,0,total,37,2.2277620623581407,9,4
1990,10110,0,total,38,4.688808792644765,9,3
1990,10110,0,total,38,4.688808792644765,9,6
1990,10110,0,total,39,4.433572187814756,10,5
1990,10110,0,total,39,4.433572187814756,10,4
1990,10110,0,total,40,3.534312367526926,11,6
1990,10110,0,total,40,3.534312367526926,11,4
1990,10110,0,total,41,4.469863940240133,9,4
1990,10110,0,total,41,4.469863940240133,9,5
1990,10110,0,total,42,5.030823356235857,10,4
1990,10110,0,total,42,5.030823356235857,10,6
1990,10110,0,total,43,4.774902600819031,9,3
1990,10110,0,total,43,4.774902600819031,9,6
1990,10110,0,total,44,4.171850908856165,8,2
1990,10110,0,total,44,4.171850908856165,8,6
1990,10110,0,total,45,3.8112967196001506,7,2
1990,10110,0,total,45,3.8112967196001506,7,4
1990,10110,0,total,46,3.721409076550788,6,1
1990,10110,0,total,46,3.721409076550788,6,4
1990,10110,0,total,47,3.760292755732636,7,2
1990,10110,0,total,47,3.760292755732636,7,5
1990,10110,0,total,48,3.143435967225127,6,1
1990,10110,0,total,48,3.143435967225127,6,5
1990,10110,0,total,49,2.3465624523893704,5,5
1990,10110,0,total,50,3.1344414430200764,5,1
1990,10110,0,total,50,3.1344414430200764,5,4
1990,10110,0,total,51,3.3350544751070337,5,1
1990,10110,0,total,51,3.3350544751070337,5,4
1990,10110,0,total,52,2.8595009311383817,5,5
1990,10110,0,total,53,3.3757482582027363,6,6
1990,10110,0,total,54,2.7309020130355544,4,4
1990,10110,0,total,55,2.6151669800170074,4,4
1990,10110,0,total,56,2.4741534204740434,4,4
1990,10110,0,total,57,2.253465643161153,4,4
1990,10110,0,total,58,2.392277407693787,4,4
1990,10110,0,total,59,2.170261769500738,4,3
1990,10110,0,total,60,2.2928959755631095,4,3
1990,10110,0,total,61,1.7531396867981122,2,2
1990,10110,0,total,62,2.4262228780267607,3,3
1990,10110,0,total,63,1.6679444602995082,2,2
1990,10110,0,total,64,1.0711509035452862,1,1
1990,10110,0,total,65,1.1145756234040456,1,1
1990,10110,0,total,66,1.0241633970124289,1,1
1990,10110,0,total,67,1.8430423547776806,3,3
1990,10110,0,total,69,2.214024993905133,3,3
1990,10110,0,total,70,1.5568534250986914,2,2
1990,10110,0,total,71,1.0471995943694634,1,1
1990,10110,0,total,72,1.9009536242519551,2,1
1990,10110,0,total,73,1.4936710019531445,2,2
1990,10110,0,total,74,1.1015033498702582,1,1
1990,10110,0,total,75,1.0744341387979954,1,1
1990,10110,0,total,76,1.1891132917822367,1,1
1990,10110,0,total,77,1.0854719612442514,1,1
1990,10110,1,male,18,1.8178447877327413,1,1
1990,10110,1,male,20,1.551070384706533,1,1
1990,10110,1,male,21,2.1546224967937166,1,1
1990,10110,1,male,22,3.791522366731935,4,4
1990,10110,1,male,23,2.5070492896134744,4,4
1990,10110,1,male,24,3.3646956138227413,4,4
1990,10110,1,male,25,3.160807301564384,5,5
1990,10110,1,male,26,2.577215374738564,4,4
1990,10110,1,male,27,3.232776220642347,5,5
1990,10110,1,male,28,2.6549175783891954,5,5
1990,10110,1,male,29,3.2462003380106164,3,3
1990,10110,1,male,30,3.6644277980902102,5,5
1990,10110,1,male,31,2.492699430347295,5,5
1990,10110,1,male,32,2.3139761731132227,5,5
1990,10110,1,male,33,2.63263875794099,3,3
1990,10110,1,male,34,3.735240879414683,5,5
1990,10110,1,male,35,2.901475786802748,5,5
1990,10110,1,male,36,3.920079020901072,5,5
1990,10110,1,male,37,1.4881122742387523,4,3
1990,10110,1,male,38,3.544007076033493,3,3
1990,10110,1,male,39,3.4221420045497557,5,5
1990,10110,1,male,40,3.5741102099012445,6,6
1990,10110,1,male,41,3.1473767094152705,4,4
1990,10110,1,male,42,3.190033079021562,4,4
1990,10110,1,male,43,2.633013741033236,3,3
1990,10110,1,male,44,1.9470027785388628,2,2
1990,10110,1,male,45,1.895608462308944,2,2
1990,10110,1,male,46,1.0431085461585625,1,1
1990,10110,1,male,47,1.9655949583167638,2,2
1990,10110,1,male,48,1.0316250131214597,1,1
1990,10110,1,male,50,1.0114906827827799,1,1
1990,10110,1,male,51,0.9966591012842636,1,1
1990,10110,2,female,19,1.7196289587916653,1,1
1990,10110,2,female,20,3.651051772188448,3,3
1990,10110,2,female,21,2.29664299847207,3,3
1990,10110,2,female,22,3.2600041880898183,4,4
1990,10110,2,female,23,3.03615488045124,5,5
1990,10110,2,female,24,2.7448397854313007,3,3
1990,10110,2,female,25,2.9277271682083637,3,3
1990,10110,2,female,26,2.90111101246206,5,4
1990,10110,2,female,27,3.4016776709006007,5,5
1990,10110,2,female,28,3.259630874312896,5,4
1990,10110,2,female,29,3.2297008428568748,4,4
