year,species_code,sex,sex_desc,iss,nss,nhls
1990,10110,0,total_pre,3657.664562165041,54708,492
1990,10110,1,male,1641.6510205609438,16829,485
1990,10110,2,female,2685.842303174954,37574,490
1990,10110,4,total_post,3657.664559132002,54708,492
1990,10110,12,female_male,3982.9265241907747,54403,490
1990,10130,0,total_pre,1685.5733132479338,24322,286
1990,10130,1,male,929.0111911843352,11255,276
1990,10130,2,female,1083.7121256914438,12939,285
1990,10130,4,total_post,1685.5731631813208,24322,286
1990,10130,12,female_male,1938.1974684161703,24194,285
1990,10180,0,total_pre,605.6262668399179,7435,195
1990,10180,1,male,243.57318335690994,3401,188
1990,10180,2,female,516.3481506656999,4034,194
1990,10180,4,total_post,605.6262205583421,7435,195
1990,10180,12,female_male,615.6817104577756,7435,195
1990,10200,0,total_pre,1282.6670814545698,14387,237
1990,10200,1,male,511.3085311345894,6793,227
1990,10200,2,female,924.3512965471808,7593,237
1990,10200,4,total_post,1282.6670348845453,14387,237
1990,10200,12,female_male,1160.9796812212176,14386,237
1990,20510,0,total_pre,504.80717833951644,5172,155
1990,20510,1,male,550.0884090374673,2890,144
1990,20510,2,female,193.51336512598047,2079,145
1990,20510,4,total_post,504.80721657258573,5172,155
1990,20510,12,female_male,502.4567241111622,4969,145
1990,21720,0,total_pre,567.3518067890508,11418,276
1990,21720,1,male,402.72088795032033,5535,274
1990,21720,2,female,461.8877258118269,5772,275
1990,21720,4,total_post,567.3518976509076,11418,276
1990,21720,12,female_male,863.5264065390182,11307,276
1990,21740,0,total_pre,440.80475075773154,42631,325
1990,21740,1,male,444.40031459691795,15014,302
1990,21740,2,female,623.7634692017517,20053,302
1990,21740,4,total_post,440.80475020230585,42631,325
1990,21740,12,female_male,1054.5800653764175,35067,303
1990,30050,0,total_pre,436.5341192741167,3522,99
1990,30050,1,male,313.49174072798996,1752,97
1990,30050,2,female,324.1095307247742,1768,99
1990,30050,4,total_post,436.5340895754891,3522,99
1990,30050,12,female_male,634.8100328925524,3520,99
1990,30060,0,total_pre,221.63320496606406,12612,156
1990,30060,1,male,213.79239151842975,6502,149
1990,30060,2,female,133.67980081387682,5718,149
1990,30060,4,total_post,221.63320631384354,12612,156
1990,30060,12,female_male,314.9464859261208,12220,151
1990,30150,0,total_pre,106.78355137219614,843,26
1990,30150,1,male,75.090571074157907,393,25
1990,30150,2,female,68.85726887147257,449,26
1990,30150,4,total_post,106.78361218866213,843,26
1990,30150,12,female_male,114.98804276687787,842,26
1990,30420,0,total_pre,93.93775451699995,3018,46
1990,30420,1,male,69.89196276837582,1682,45
1990,30420,2,female,64.49399017489787,1334,46
1990,30420,4,total_post,93.93775327456913,3018,46
1990,30420,12,female_male,137.67752451609286,3016,46
1993,10110,0,total_pre,7274.577237764758,66060,638
1993,10110,1,male,2414.1145876165942,19311,609
1993,10110,2,female,5694.435005415386,46558,629
1993,10110,4,total_post,7274.577170389477,66060,638
1993,10110,12,female_male,7740.890665868488,65869,635
1993,10130,0,total_pre,2030.3241436990056,25995,363
1993,10130,1,male,863.4301901248967,12248,337
1993,10130,2,female,1138.0700610363554,13509,361
1993,10130,4,total_post,2030.3241722226958,25995,363
1993,10130,12,female_male,1827.1441905633928,25757,363
1993,10180,0,total_pre,2082.347631001062,10491,321
1993,10180,1,male,1095.3291564277115,5316,283
1993,10180,2,female,1123.989557411289,4866,306
1993,10180,4,total_post,2082.3476897636333,10491,321
1993,10180,12,female_male,1967.072293606216,10182,316
1993,10200,0,total_pre,2221.954466403845,19100,374
1993,10200,1,male,943.8097216451433,8166,319
1993,10200,2,female,1763.6284512930927,9943,359
1993,10200,4,total_post,2221.954481435524,19100,374
1993,10200,12,female_male,2230.8330881135594,18109,367
1993,20510,0,total_pre,307.3245321194341,7705,262
1993,20510,1,male,225.5728328705548,4295,234
1993,20510,2,female,225.72387382377482,2873,236
1993,20510,4,total_post,307.3245117395725,7705,262
1993,20510,12,female_male,408.12894658651095,7168,250
1993,21720,0,total_pre,915.5348411305271,17447,453
1993,21720,1,male,596.5035164149738,8414,433
1993,21720,2,female,644.1502497639527,8570,435
1993,21720,4,total_post,915.5348101174932,17447,453
1993,21720,12,female_male,1243.7210025083407,16984,452
1993,21740,0,total_pre,852.338038221133,35210,457
1993,21740,1,male,463.2317550581883,14675,427
1993,21740,2,female,656.3710095855484,18848,430
1993,21740,4,total_post,852.3380189729404,35210,457
1993,21740,12,female_male,1073.7224023434926,33523,449
1993,30050,0,total_pre,504.2497996396256,5639,201
1993,30050,1,male,353.28716723288125,2699,178
1993,30050,2,female,411.94616679558806,2864,181
1993,30050,4,total_post,504.249842527339,5639,201
1993,30050,12,female_male,753.3268013586818,5563,196
1993,30060,0,total_pre,316.13728573869764,17357,219
1993,30060,1,male,280.5912457438348,8815,208
1993,30060,2,female,232.98477921037588,7976,208
1993,30060,4,total_post,316.1372870166255,17357,219
1993,30060,12,female_male,516.6960887859929,16791,218
