year,region,species_code,sex,sex_desc,iss,nss,nhl
1990,egoa,10130,0,total_pre,1.3765712447867893,9,2
1990,egoa,10130,1,male,0.5983351483303846,3,1
1990,egoa,10130,2,female,1.06975580164638,6,2
1990,egoa,10130,4,total_post,1.304546412172608,9,2
1990,egoa,10130,12,female_male,1.4040221262093038,9,2
1990,egoa,10200,0,total_pre,2.940884213709898,11,1
1990,egoa,10200,2,female,2.8292034866678866,11,1
1990,egoa,10200,4,total_post,2.8292034866678866,11,1
1990,egoa,10200,12,female_male,2.8292034866678866,11,1
1990,egoa,21720,0,total_pre,5.09615631156252,27,5
1990,egoa,21720,1,male,2.707088554804554,9,4
1990,egoa,21720,2,female,4.211315477405033,18,5
1990,egoa,21720,4,total_post,5.476574490494829,27,5
1990,egoa,21720,12,female_male,7.093561731135892,27,5
1990,egoa,21740,0,total_pre,6.80484959587958,34,4
1990,egoa,21740,1,male,4.792129541214186,16,4
1990,egoa,21740,2,female,4.263418976947125,18,3
1990,egoa,21740,4,total_post,8.516068285439149,34,4
1990,egoa,21740,12,female_male,7.802527900596758,34,4
1990,egoa,30050,0,total_pre,2.136076418506908,2,1
1990,egoa,30050,1,male,1.8221188136728652,2,1
1990,egoa,30050,4,total_post,1.8221188136728652,2,1
1990,egoa,30050,12,female_male,1.8221188136728652,2,1
1990,egoa,30060,0,total_pre,89.24128688056342,957,20
1990,egoa,30060,1,male,74.42507832099648,471,20
1990,egoa,30060,2,female,61.74786596412352,486,20
1990,egoa,30060,4,total_post,88.47166277615408,957,20
1990,egoa,30060,12,female_male,131.9888263345166,957,20
1990,egoa,30420,0,total_pre,0.9929820586314564,1,1
1990,goa,10110,0,total_pre,83.74454511011271,325,14
1990,goa,10110,1,male,30.708758833672075,109,13
1990,goa,10110,2,female,65.82322323849142,216,14
1990,goa,10110,4,total_post,87.89321802367826,325,14
1990,goa,10110,12,female_male,99.08113330816943,325,14
1990,goa,10130,0,total_pre,55.936729342282455,247,22
1990,goa,10130,1,male,25.07912563568573,107,17
1990,goa,10130,2,female,30.512255851405104,138,18
1990,goa,10130,4,total_post,44.48556330523648,247,22
1990,goa,10130,12,female_male,57.687261058941964,245,22
1990,goa,10180,0,total_pre,36.48487000464,201,18
1990,goa,10180,1,male,19.081262740205243,78,16
1990,goa,10180,2,female,23.85421692254002,123,18
1990,goa,10180,4,total_post,37.31164046061201,201,18
1990,goa,10180,12,female_male,43.69440733289526,201,18
1990,goa,10200,0,total_pre,75.13814830082637,270,27
1990,goa,10200,1,male,22.663502319089073,114,20
1990,goa,10200,2,female,53.55184282443772,156,26
1990,goa,10200,4,total_post,31.74566772778232,270,27
1990,goa,10200,12,female_male,76.21690154982934,270,27
1990,goa,21720,0,total_pre,189.6648455332281,493,29
1990,goa,21720,1,male,69.75404255882026,220,26
1990,goa,21720,2,female,127.64643973886238,273,28
1990,goa,21720,4,total_post,42.31026276425348,493,29
1990,goa,21720,12,female_male,201.23098625934486,493,29
