year,region,species_code,sex,sex_desc,iss,nss,nhls
1990,egoa,10110,0,total_pre,1389.886867377435,7918,96
1990,egoa,10110,1,male,697.8684151153622,3499,94
1990,egoa,10110,2,female,954.1016239008279,4278,94
1990,egoa,10110,4,total_post,1389.8868779803593,7918,96
1990,egoa,10110,12,female_male,1542.5527376757718,7777,94
1990,egoa,10130,0,total_pre,319.8938800680499,2475,33
1990,egoa,10130,1,male,178.5132179680598,1225,33
1990,egoa,10130,2,female,200.5578831732739,1215,33
1990,egoa,10130,4,total_post,319.89387835951624,2475,33
1990,egoa,10130,12,female_male,371.30268952695167,2440,33
1990,egoa,10180,0,total_pre,689.8474943160534,2911,60
1990,egoa,10180,1,male,395.0701270486388,1493,60
1990,egoa,10180,2,female,389.4934847448314,1418,60
1990,egoa,10180,4,total_post,689.8474739973619,2911,60
1990,egoa,10180,12,female_male,718.0094908926739,2911,60
1990,egoa,10200,0,total_pre,366.232415886051,3397,46
1990,egoa,10200,1,male,313.5945645966686,1979,46
1990,egoa,10200,2,female,151.977677656988,1417,46
1990,egoa,10200,4,total_post,366.23238029937954,3397,46
1990,egoa,10200,12,female_male,341.94887487248735,3396,46
1990,egoa,20510,0,total_pre,412.62907417767474,1559,53
1990,egoa,20510,1,male,244.32311085563947,849,44
1990,egoa,20510,2,female,198.5964020635102,573,45
1990,egoa,20510,4,total_post,412.6290429473297,1559,53
1990,egoa,20510,12,female_male,422.44032753548385,1422,45
1990,egoa,21720,0,total_pre,149.70357299500176,480,21
1990,egoa,21720,1,male,80.39492763392217,218,21
1990,egoa,21720,2,female,89.55936440650179,262,21
1990,egoa,21720,4,total_post,149.70359274853743,480,21
1990,egoa,21720,12,female_male,170.61936218467704,480,21
1990,egoa,21740,0,total_pre,127.12932265959444,8521,77
1990,egoa,21740,1,male,231.61696750518593,3003,74
1990,egoa,21740,2,female,278.52091759891545,3265,74
1990,egoa,21740,4,total_post,127.12932096634884,8521,77
1990,egoa,21740,12,female_male,504.28629459203023,6268,74
1990,egoa,30050,0,total_pre,271.5069338005772,1321,26
1990,egoa,30050,1,male,170.70348117179068,649,26
1990,egoa,30050,2,female,172.25984172663408,672,26
1990,egoa,30050,4,total_post,271.5070866976494,1321,26
1990,egoa,30050,12,female_male,342.26455757018346,1321,26
1990,egoa,30060,0,total_pre,184.04092090118002,6417,62
1990,egoa,30060,1,male,159.8194078538689,3094,60
1990,egoa,30060,2,female,106.96591239957198,3049,60
1990,egoa,30060,4,total_post,184.0409384947363,6417,62
1990,egoa,30060,12,female_male,225.22671598019838,6143,60
1990,egoa,30150,0,total_pre,47.92976472171909,173,6
1990,egoa,30150,1,male,20.931187915613492,54,6
1990,egoa,30150,2,female,29.53023412605469,119,6
1990,egoa,30150,4,total_post,47.92979730415939,173,6
1990,egoa,30150,12,female_male,37.85165588265807,173,6
1990,egoa,30420,0,total_pre,14.735017725629497,36,2
1990,egoa,30420,1,male,6.612627560253041,14,2
1990,egoa,30420,2,female,12.30022102440347,22,2
1990,egoa,30420,4,total_post,14.735110678359078,36,2
1990,egoa,30420,12,female_male,14.90454587792294,36,2
1990,goa,10110,0,total_pre,3751.4109658738644,54708,492
1990,goa,10110,1,male,1587.3664919000391,16829,485
1990,goa,10110,2,female,2781.307353947969,37574,490
1990,goa,10110,4,total_post,3751.4109776342184,54708,492
1990,goa,10110,12,female_male,4069.4562383326665,54403,490
1990,goa,10130,0,total_pre,1727.556310503185,24322,286
1990,goa,10130,1,male,946.8786588584011,11255,276
1990,goa,10130,2,female,1129.9549115272875,12939,285
1990,goa,10130,4,total_post,1727.556141269651,24322,286
1990,goa,10130,12,female_male,1992.9055804655738,24194,285
1990,goa,10180,0,total_pre,628.0442663028599,7435,195
1990,goa,10180,1,male,256.8638502440111,3401,188
1990,goa,10180,2,female,517.8131960084964,4034,194
1990,goa,10180,4,total_post,628.0442506041156,7435,195
1990,goa,10180,12,female_male,641.8477184408254,7435,195
1990,goa,10200,0,total_pre,1289.1350275567481,14387,237
1990,goa,10200,1,male,532.4154903242039,6793,227
1990,goa,10200,2,female,915.6010166165054,7593,237
1990,goa,10200,4,total_post,1289.1349954434424,14387,237
1990,goa,10200,12,female_male,1155.1935890333295,14386,237
1990,goa,20510,0,total_pre,538.3713077509318,5172,155
1990,goa,20510,1,male,545.1875817348259,2890,144
1990,goa,20510,2,female,202.54984148734877,2079,145
1990,goa,20510,4,total_post,538.371399161066,5172,155
1990,goa,20510,12,female_male,528.1596625591284,4969,145
1990,goa,21720,0,total_pre,577.7561611539087,11418,276
1990,goa,21720,1,male,405.6764158447546,5535,274
1990,goa,21720,2,female,471.1166575878368,5772,275
1990,goa,21720,4,total_post,577.7562542014389,11418,276
1990,goa,21720,12,female_male,874.3048254635536,11307,276
1990,goa,21740,0,total_pre,460.8402343250419,42631,325
1990,goa,21740,1,male,466.0334512247119,15014,302
1990,goa,21740,2,female,676.9739228629353,20053,302
1990,goa,21740,4,total_post,460.8402342366606,42631,325
1990,goa,21740,12,female_male,1132.1990211494801,35067,303
1990,goa,30050,0,total_pre,418.7458781135568,3522,99
1990,goa,30050,1,male,303.8987456255548,1752,97
1990,goa,30050,2,female,315.43092271888423,1768,99
1990,goa,30050,4,total_post,418.74580626352025,3522,99
1990,goa,30050,12,female_male,617.840459878027,3520,99
1990,goa,30060,0,total_pre,237.07818779632387,12612,156
1990,goa,30060,1,male,229.7545671793777,6502,149
1990,goa,30060,2,female,139.80591273311603,5718,149
1990,goa,30060,4,total_post,237.07819175850304,12612,156
1990,goa,30060,12,female_male,331.1964874024547,12220,151
1990,goa,30150,0,total_pre,107.33721004369927,843,26
